nome,nivel,remoto,salario,salario_maximo,Tecnologia 1,Tecnologia 2,Tecnologia 3,Tecnologia 4,Tecnologia 5,Tecnologia 6,Tecnologia 7,Tecnologia 8,Tecnologia 9,Tecnologia 10,Tecnologia 11,Tecnologia 12
"Vencida, Desenvolvedor(a) Flutter Sênior",Sênior,Não Remoto,CLT,15.000,Flutter,React Native,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) .Net Sr",Não especificado,Não Remoto,CLT,12.000,SQL Server,.NET,C#,,,,,,,,,
"Vencida, Desenvolvedor(a) NodeJS Sênior",Sênior,Remoto,PJ,18.000,Node.js,PostgreSQL,Git,,,,,,,,,
"Vencida, Desenvolvedor(a) .NET Pleno (Front-End)",Pleno,Remoto,CLT / PJ,7.000,Angular,ASP.NET MVC,CSS,HTML,.NET,,,,,,,
"Vencida, Desenvolvedor(a) Ruby on Rails",Não especificado,Remoto,PJ,12.000,API,Ruby,Ruby on Rails,,,,,,,,,
"Vencida, Analista Desenvolvedor(a) FullStack ReacJS / NodeJS - Pl",Não especificado,Remoto,PJ,7.000,API,MySQL,Node.js,ReactJS,TypeScript,Web Services,,,,,,
"Vencida, .NET Developer",Não especificado,Remoto,CLT / PJ,,C#,.NET,SQL,,,,,,,,,
"Vencida, Devops Sênior",Sênior,Remoto,PJ,12.000,DevOps,Laravel,Vue.js,,,,,,,,,
"Vencida, Node.JS Developer",Não especificado,Não Remoto,PJ,15.000,DynamoDB,GraphQL,JSON,Node.js,Web Services,,,,,,,
"Vencida, Ruby on Rails Developers",Não especificado,Remoto,PJ,15.000,API,HTML,JavaScript,PostgreSQL,Ruby on Rails,SQL,,,,,,
"Vencida, Desenvolvedor(a) Fullstack ",Não especificado,Remoto,PJ,10.000,Angular,.NET Core,ReactJS,SQL Server,.NET,,,,,,,
"Vencida, Programador(a) Wordpress",Não especificado,Remoto,PJ,2.000,CSS,HTML,WordPress,,,,,,,,,
"Vencida, Suporte técnico",Não especificado,Remoto,Estágio,1.000,CSS,HTML,WordPress,,,,,,,,,
"Vencida, Desenvolvedor(a) React Sênior",Sênior,Remoto,PJ,15.000,HTML,JavaScript,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) Fullstack (Java) Pleno/Jr",Pleno,Remoto,PJ,8.000,CSS,Java,JavaScript,,,,,,,,,
"Vencida, DESENVOLVEDOR(A) FULL STACK PHP",Não especificado,Remoto,CLT,,PHP,Git,Laravel,,,,,,,,,
"Vencida, Desenvolvedor(a) .NET (Portugal)",Não especificado,Não Remoto,PJ,15.000,C#,.NET,Google Cloud,kubernetes,SQL,,,,,,,
"Vencida, Desenvolvedor(a) Python Pleno",Pleno,Remoto,PJ,6.000,C++,Machine learning,Python,NumPy,OpenCV,Pandas,,,,,,
"Vencida, Desenvolvedor(a) Python Júnior",Júnior,Remoto,PJ,4.000,C++,Machine learning,Python,,,,,,,,,
"Vencida, Analista Devops",Não especificado,Não Remoto,CLT,10.000,DevOps,Linux,Python,,,,,,,,,
"Vencida, Desenvolvedor(a) .NET Jr",Não especificado,Não Remoto,PJ,3.000,Bootstrap,CSS,HTML,.NET,C#,JavaScript,,,,,,
"Vencida, Desenvolvedor(a) Frontend Angular",Não especificado,Não Remoto,PJ,3.000,Angular,C#,CSS,HTML,JavaScript,.NET,,,,,,
"Vencida, Tech Lead",Não especificado,Não Remoto,CLT / PJ,,JavaScript,NetLinx,Node.js,PHP,ReactJS,SQL,,,,,,
"Vencida, Analista Desenvolvedor(a) C#",Não especificado,Não Remoto,CLT,8.000,C#,C++,Linux,,,,,,,,,
"Vencida, Desenvolvedor(a) .NET",Não especificado,Remoto,PJ,10.000,RESTful,SQL,VB .NET,Web API,.NET,,,,,,,
"Vencida, Desenvolvedor(a) Fullstack Node.js Pleno",Pleno,Remoto,CLT,8.000,AWS S3,MySQL,Node.js,PHP,SQL Server,Vue.js,,,,,,
"Vencida, Desenvolvedor(a) Mobile Pleno",Pleno,Remoto,PJ,6.000,JavaScript,API,Git,React Native,Redux,TypeScript,,,,,,
"Vencida, Desenvolvedor(a) C++ Sênior",Sênior,Remoto,CLT,12.000,API,C++,Git,JSON,,,,,,,,
"Vencida, Analista Desenvolvedor(a) C++",Não especificado,Não Remoto,CLT,8.000,Administrador de sistema,C#,C++,MVC,,,,,,,,
"Vencida, Desenvolvedor(a) .NET Core - Pleno",Pleno,Não Remoto,PJ,10.000,ASP.NET Core,C#,.NET Core,SQL,.NET,,,,,,,
"Vencida, Programador(a) Full Stack - PHP/Laravel",Não especificado,Remoto,CLT / PJ,,Laravel,MySQL,PHP,CSS,,,,,,,,
"Vencida, Desenvolvedor(a) Fullstack Pleno",Pleno,Remoto,CLT / PJ,7.000,Angular,JavaScript,Node.js,ReactJS,,,,,,,,
"Vencida, Desenvolvedor(a) Fullstack NodeJS / ReactJS - Sênior",Sênior,Remoto,PJ,10.000,GraphQL,Node.js,ReactJS,TDD,,,,,,,,
"Vencida, Desenvolvedor(a) Web .NET/C# Pleno",Pleno,Remoto,PJ,7.000,C#,Git,HTML,JavaScript,MySQL,.NET,,,,,,
"Vencida, Desenvolvedor(a) .Net",Não especificado,Não Remoto,PJ,8.000,ASP,C#,.NET,,,,,,,,,
"Vencida, Desenvolvedor(a) Java Fullstack - PJ",Não especificado,Remoto,PJ,15.000,JavaEE,JSF,ORACLE,Spring,Web API,Java,,,,,,
"Vencida, Desenvolvedor(a) Ruby Fullstack Pleno",Pleno,Remoto,PJ,7.000,JavaScript,Ruby on Rails,Testes automatizados,,,,,,,,,
"Vencida, Desenvolvedor(a) Android",Não especificado,Remoto,PJ,,Java,Kotlin,MVVM,,,,,,,,,
"Vencida, Líder Técnico .NET CORE",Não especificado,Remoto,PJ,15.000,ASP.NET MVC,Web API,.NET,,,,,,,,,
"Vencida, DESENVOLVEDOR(A) .NET SÊNIOR",Sênior,Não Remoto,PJ,12.000,ASP.NET,C#,.NET,SQL Server,,,,,,,,
"Vencida, Desenvolvedor(a) Node Sênior",Sênior,Remoto,CLT,,API,Node.js,PostgreSQL,TypeScript,,,,,,,,
"Vencida, Desenvolvedor(a) Front End Mobile Pleno",Pleno,Remoto,PJ,8.000,C#,Git,.NET,React Native,RESTful,SQL Server,,,,,,
"Vencida, Desenvolvedor(a) Back-End Pleno",Pleno,Remoto,PJ,,API,Laravel,MySQL,PHP,,,,,,,,
"Vencida, Back-end Developer - .Net Core",Não especificado,Remoto,PJ,10.000,C#,Design Pattern,.NET,,,,,,,,,
"Vencida, Full Stack Developer ",Não especificado,Remoto,CLT,10.000,HTML,Java,JavaScript,Spring Boot,,,,,,,,
"Vencida, Desenvolvedor(a) .NET / C# Pleno",Pleno,Não Remoto,CLT,,ASP.NET,ERP,JavaScript,.NET,SQL Server,,,,,,,
"Vencida, Desenvolvedor(a) Back End (Python/ Node.JS/ Golang) SR",Não especificado,Remoto,CLT,,Node.js,NoSQL,PHP,Python,SQL,,,,,,,
"Vencida, Desenvolvedor(a) C# / VB6 - Pleno",Pleno,Não Remoto,PJ,,C#,ORACLE,SQL,Visual Basic,,,,,,,,
"Vencida, Desenvolvedor(a) Ruby on Rails Pl e Sr.",Não especificado,Remoto,PJ / CLT,,Ruby on Rails,PostgreSQL,API,AWS S3,Testes automatizados,,,,,,,
"Vencida, Desenvolvedor(a) Blockchain Sênior",Sênior,Remoto,PJ,5.000,Blockchain,C++,Cloud,Java,NoSQL,,,,,,,
"Vencida, Desenvolvedor(a) .Net (C#) Pleno",Pleno,Remoto,PJ,8.000,Angular,API,Bootstrap,C#,SQL Server,.NET,,,,,,
"Vencida, Programador(a) PHP",Não especificado,Não Remoto,CLT / PJ,2.500,CSS,HTML,JavaScript,MySQL,PHP,,,,,,,
"Vencida, Desenvolvedor(a) Node Sênior",Sênior,Remoto,CLT,15.000,Docker,Node.js,TypeScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Fullstack (React/React-Native/NodeJS) - Pleno",Pleno,Remoto,PJ,8.000,MongoDB,MySQL,Node.js,PHP,ReactJS,React Native,,,,,,
"Vencida, Desenvolvedor(a) Web (ReactJS) Front-End PL",Não especificado,Remoto,PJ,12.000,Django,Python,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) Web Python PL",Não especificado,Remoto,PJ,12.000,Django,Python,ReactJS,JavaScript,,,,,,,,
"Vencida, Desenvolvedor(a) Java Pleno",Pleno,Não Remoto,CLT,,HTML,SQL,JavaScript,Java,CSS,Spring Boot,,,,,,
"Vencida, DESENVOLVEDOR(A) BACK END PLENO C#",Pleno,Não Remoto,CLT,8.000,C#,.NET,SQL Server,TypeScript,Web API,,,,,,,
"Vencida, Desenvolvedor(a) React (Remoto)",Não especificado,Remoto,PJ,15.000,JavaScript,ReactJS,Redux,TypeScript,,,,,,,,
"Vencida, Desenvolvedor(a) Pleno",Pleno,Remoto,PJ,6.000,MongoDB,Node.js,PostgreSQL,,,,,,,,,
"Vencida, Desenvolvedor(a) Django REST Framework - Sênior",Sênior,Remoto,CLT / PJ,12.000,Django,Git,PostgreSQL,Python,,,,,,,,
"Vencida, Desenvolvedor(a) Java/Angular - Sênior",Sênior,Não Remoto,PJ,15.000,Angular,Docker,Java,kubernetes,RESTful,Spring Boot,,,,,,
"Vencida, FULLSTACK DEVELOPER",Não especificado,Remoto,CLT,7.000,CSS,HTML,JavaScript,PHP,ReactJS,,,,,,,
"Vencida, Desenvolvedor(a) .Net Sênior",Sênior,Remoto,CLT,,C#,.NET,ReactJS,Angular,Docker,,,,,,,
"Vencida, Desenvolvedor(a) Front-End ",Não especificado,Remoto,CLT,4.000,Figma,JavaScript,ReactJS,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Angular/Node JS",Não especificado,Remoto,CLT,12.000,Angular,Ionic,JavaScript,MongoDB,Node.js,TypeScript,,,,,,
"Vencida, Desenvolvedor(a) de Software",Não especificado,Não Remoto,CLT,6.000,C#,CSS,HTML,Java,SQL Server,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno ",Pleno,Remoto,PJ,6.000,CodeIgniter,CSS,Git,JavaScript,Less,PHP,,,,,,
"Vencida, Desenvolvedor(a) .NET/ C#",Não especificado,Remoto,CLT / PJ,,C#,.NET,SCRUM,,,,,,,,,
"Vencida, UX",Não especificado,Remoto,CLT / PJ,,Design Pattern,HTML,SCRUM,,,,,,,,,
"Vencida, Desenvolvedor(a) Angular",Não especificado,Remoto,CLT / PJ,,Angular,SCRUM,Azure,,,,,,,,,
"Vencida, Desenvolvedor(a) Python / Django - Sênior ",Sênior,Remoto,PJ,8.000,Django,MySQL,Python,,,,,,,,,
"Vencida, Desenvolvedor(a) Back-end Node.Js Pleno",Pleno,Remoto,PJ,6.000,AdonisJS,API,Git,MySQL,Node.js,Testes automatizados,,,,,,
"Vencida, Desenvolvedor(a) Full Stack",Não especificado,Remoto,CLT,,AWS RDS (Relational Database Service),CSS,HTML,JavaScript,Node.js,ReactJS,,,,,,
"Vencida, Desenvolvedor(a) VueJS Sênior",Sênior,Remoto,PJ,10.000,JavaScript,Node.js,TypeScript,Vue.js,,,,,,,,
"Vencida, Programador(a) PHP Pleno",Pleno,Não Remoto,CLT / PJ,,JavaScript,jQuery,MVC,PHP,,,,,,,,
"Vencida, Desenvolvedor(a) Angular/ Java - Sênior",Sênior,Não Remoto,PJ,15.000,Angular,Docker,Java,kubernetes,RESTful,Spring Boot,,,,,,
"Vencida, Tech Lead - Ruby On Rails",Não especificado,Remoto,PJ,,JavaScript,PostgreSQL,Ruby,Ruby on Rails,SCRUM,Vue.js,,,,,,
"Vencida, Desenvolvedor(a) Front-End Pleno",Pleno,Remoto,PJ,2.500,HTML,JavaScript,ReactJS,,,,,,,,,
"Vencida, Arquiteto(a) de Software Sênior",Sênior,Remoto,PJ,,Cloud,Docker,MySQL,ORACLE,PHP,Python,,,,,,
"Vencida, Analista de Sistemas .NET Pleno",Pleno,Remoto,PJ,8.000,.NET,.NET Core,SCRUM,,,,,,,,,
"Vencida, Remote Full Stack Developer",Não especificado,Remoto,CLT,,Angular,HTML,JavaScript,MySQL,PostgreSQL,Python,,,,,,
"Vencida, Desenvolvedor(a) Fullstack C# Pleno",Pleno,Remoto,CLT,8.000,C#,.NET Core,PostgreSQL,SQL Server,Vue.js,.NET,,,,,,
"Vencida, Desenvolvedor(a) NodeJs Backend Sênior",Sênior,Remoto,PJ,12.000,API,Git,kubernetes,Testes automatizados,Testes unitários,Node.js,,,,,,
"Vencida, Desenvolvedor(a) React Native",Não especificado,Remoto,CLT,,Clean Code,Git,React Native,,,,,,,,,
"Vencida, QA Automação Pleno",Pleno,Remoto,CLT / PJ,,Android,Docker,Git,iOS,Java,,,,,,,
"Vencida, Remote Java Developer",Não especificado,Remoto,CLT,,Java,JavaEE,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack ",Não especificado,Remoto,CLT,,Node.js,Angular,CSS,Git,Linux,JavaScript,,,,,,
"Vencida, Coordenador(a) de Desenvolvimento",Não especificado,Não Remoto,PJ,15.000,C#,JavaScript,SQL Server,,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End Pleno",Pleno,Não Remoto,CLT,5.000,C#,SQL Server,.NET,,,,,,,,,
"Vencida, Desenvolvedor(a) Python",Não especificado,Remoto,PJ,,AWS EC2 (Elastic Compute Cloud),Python,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) WordPress/PHP Sênior",Sênior,Remoto,PJ,10.000,API,Git,PHP,SCRUM,Testes unitários,WordPress,,,,,,
"Vencida, Desenvolvedor(a) JavaScript Sênior",Sênior,Remoto,PJ,10.000,C#,JavaScript,.NET,SQL,,,,,,,,
"Vencida, Desenvolvedor(a) Mobile Pleno",Pleno,Remoto,PJ,8.000,React Native,Redux,PWA,,,,,,,,,
"Vencida, Desenvolvedor(a) Júnior",Júnior,Não Remoto,CLT,4.000,API,MySQL,Python,ReactJS,React Native,TDD,,,,,,
"Vencida, Desenvolvedor(a) Python / Django Pleno",Pleno,Remoto,PJ,5.000,Python,Django,API,,,,,,,,,
"Vencida, Desenvolvedor(a) PHP",Não especificado,Remoto,CLT / PJ,,Azure,MySQL,PHP,,,,,,,,,
"Vencida, Desenvolvedor(a) .NET CORE MVC",Não especificado,Remoto,PJ,8.000,MVC,MySQL,.NET Core,SQL,SQL Server,.NET,,,,,,
"Vencida, Desenvolvedor(a) Mobile Sênior",Sênior,Remoto,PJ,,Android,Angular,Clean Code,Flutter,Ionic,iOS,,,,,,
"Vencida, Tech Lead Selenium (com NodeJS)",Não especificado,Não Remoto,PJ,7.000,Git,MySQL,Node.js,PHP,PostgreSQL,Selenium,,,,,,
"Vencida, Desenvolvedor(a) Web Sênior",Sênior,Não Remoto,PJ,10.000,AWS S3,JavaScript,.NET Core,Node.js,Web API,.NET,,,,,,
"Vencida, Desenvolvedor(a) PHP Sênior",Sênior,Remoto,PJ,10.000,JavaScript,Linux,MySQL,PHP,,,,,,,,
"Vencida, Desenvolvedor(a) PHP/ Laravel",Não especificado,Remoto,PJ,7.000,API,Laravel,PHP,,,,,,,,,
"Vencida, DESENVOVEDOR(A) FULL STACK",Não especificado,Remoto,CLT,8.000,API,Docker,Java,Node.js,Vue.js,JavaScript,,,,,,
"Vencida, DESENVOLVEDOR(A) MOBILE SÊNIOR",Sênior,Remoto,CLT,10.000,API,Git,JavaScript,Node.js,ReactJS,React Native,,,,,,
"Vencida, Desenvolvedor(a) .NET [BH]",Não especificado,Não Remoto,PJ,7.000,CSS,HTML,JavaScript,SQL Server,.NET,C#,,,,,,
"Vencida, Desenvolvedor(a) Mobile Front End",Não especificado,Não Remoto,CLT,8.000,Dart,JavaScript,SCRUM,,,,,,,,,
"Vencida, Desenvolvedor(a) Mobile",Não especificado,Não Remoto,PJ,,API,Bootstrap,CSS,Dart,Flutter,React Native,,,,,,
"Vencida, Desenvolvedor(a) Pleno ",Pleno,Remoto,CLT,6.000,Angular,ASP.NET,ASP.NET MVC,C#,JavaScript,SQL Server,,,,,,
"Vencida, Pessoa Desenvolvedora PHP Sênior",Sênior,Não Remoto,PJ,15.000,Docker,Git,JavaScript,Laravel,PHP,Vue.js,,,,,,
"Vencida, Tech Lead Hands On",Não especificado,Remoto,PJ,10.000,Laravel,ReactJS,React Native,,,,,,,,,
"Vencida, Desenvolvedor(a) - Oracle ADF",Não especificado,Remoto,PJ,15.000,API,Java,JavaEE,XQuery,,,,,,,,
"Vencida, Desenvolvedor(a) Python Júnior",Júnior,Remoto,PJ,3.000,Django,PostgreSQL,Python,,,,,,,,,
"Vencida, Desenvolvedor(a) Python Pleno",Pleno,Remoto,PJ,4.000,PostgreSQL,Python,Django,,,,,,,,,
"Vencida, Desenvolvedor(a) Node.js - Júnior",Júnior,Remoto,CLT / PJ,3.000,MySQL,Node.js,ReactJS,NextJS,JavaScript,,,,,,,
"Vencida, Desenvolvedor(a) Front-End Pleno",Pleno,Remoto,PJ,8.000,AWS S3,RESTful,Vue.js,JavaScript,Angular,ReactJS,,,,,,
"Vencida, Desenvolvedor(a) Backend Pleno",Pleno,Remoto,PJ,10.000,AWS EC2 (Elastic Compute Cloud),GraphQL,Node.js,Serverless,RESTful,TypeScript,,,,,,
"Vencida, Desenvolvedor(a) de Software NodeJs PL",Não especificado,Remoto,PJ,10.000,API,AWS S3,Git,Node.js,NoSQL,ReactJS,,,,,,
"Vencida, Desenvolvedor(a) iOS Júnior",Júnior,Remoto,PJ,5.000,Git,MVVM,Swift,,,,,,,,,
"Vencida, Desenvolvedor(a) iOS Pleno",Pleno,Remoto,PJ,,Git,MVVM,Swift,,,,,,,,,
"Vencida, Desenvolvedor(a) React/React Native Pl / Sr",Não especificado,Remoto,CLT / PJ,7.000,Azure,ReactJS,React Native,Redux,,,,,,,,
"Vencida, Programador(a) Back-end",Não especificado,Não Remoto,CLT,,API,Laravel,PHP,SQL,,,,,,,,
"Vencida, Desenvolvedor(a) Front-End Júnior",Júnior,Remoto,PJ,2.000,HTML,JavaScript,Node.js,ReactJS,Vue.js,,,,,,,
"Vencida, Desenvolvedor(a) Java Sênior",Sênior,Remoto,PJ,15.000,API,Java,JavaScript,RESTful,SQL,Web Services,,,,,,
"Vencida, Desenvolvedor(a) Python",Não especificado,Remoto,PJ,15.000,JavaScript,ORACLE,Python,ReactJS,SQL Server,Web Services,,,,,,
"Vencida, Desenvolvedor(a) Back-End Pleno",Pleno,Remoto,PJ,,Java,JavaScript,XQuery,,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack - (Angular/Node) Pleno",Pleno,Remoto,CLT,,Angular,HTML,Java,JavaScript,Node.js,React Native,,,,,,
"Vencida, Desenvolvedor(a) Java ",Não especificado,Não Remoto,CLT / PJ,,Ajax,HTML,JavaScript,Java,,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno",Pleno,Não Remoto,PJ,4.000,Firebase,JavaScript,Node.js,PostgreSQL,ReactJS,React Native,,,,,,
"Vencida, Desenvolvedor(a) Web",Não especificado,Não Remoto,CLT / PJ,3.000,HTML,PHP,SQL,WordPress,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End Python",Não especificado,Remoto,PJ,15.000,Git,Python,RESTful,,,,,,,,,
"Vencida, Desenvolvedor(a) Ionic - Pleno ",Pleno,Remoto,CLT / PJ,10.000,Android,Ionic,iOS,,,,,,,,,
"Vencida, Desenvolvedor(a) IOS - Sênior ",Sênior,Não Remoto,CLT / PJ,15.000,Clean Code,Design Pattern,iOS,Swift,,,,,,,,
"Vencida, Desenvolvedor(a) Frontend - React - Sênior ",Sênior,Remoto,CLT,,Figma,NextJS,ReactJS,Testes unitários,,,,,,,,
"Vencida, Desenvolvedor(a) Python - Sênior ",Sênior,Remoto,CLT,12.000,Python,Git,SCRUM,SQL,SQLite,,,,,,,
"Vencida, Desenvolvedor(a) Fullstack - Java - Sênior ",Sênior,Remoto,CLT,,AWS EC2 (Elastic Compute Cloud),Java,Kotlin,Testes unitários,Angular,,,,,,,
"Vencida, Tech Lead",Não especificado,Remoto,CLT,15.000,API,Design Pattern,Docker,Laravel,Node.js,PHP,,,,,,
"Vencida, Desenvolvedor(a) React Native",Não especificado,Remoto,CLT,12.000,React Native,Testes automatizados,TypeScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Java Sênior",Sênior,Remoto,CLT,12.000,Azure,Cloud,Java,NoSQL,,,,,,,,
"Vencida, Engenheiro(a) de Software Pleno",Pleno,Não Remoto,CLT,7.000,CodeIgniter,Docker,Dockerfile,PHP,,,,,,,,
"Vencida, Desenvolvedor(a) Android",Não especificado,Remoto,PJ,18.000,Java,JavaScript,Kotlin,React Native,Android,,,,,,,
"Vencida, Desenvolvedor(a) Mobile",Não especificado,Remoto,PJ,12.000,Android,Clean Code,iOS,Kotlin,,,,,,,,
"Vencida, Desenvolvedor(a) de Software Full-stack Pleno",Pleno,Remoto,CLT / PJ,10.000,Docker,Linux,Redis,Ruby on Rails,TDD,Vue.js,,,,,,
"Vencida, Desenvolvedor(a) Java Sênior ",Sênior,Remoto,PJ,12.000,Hibernate,Java,JavaEE,RESTful,Spring Boot,,,,,,,
"Vencida, Desenvolvedor(a) React Native Pleno",Pleno,Remoto,PJ,8.000,Android,Git,iOS,JavaScript,React Native,RESTful,,,,,,
"Vencida, Desenvolvedor(a) Back-end Python ",Não especificado,Remoto,PJ,15.000,Python,SQL Server,Django,GraphQL,PyTest,,,,,,,
"Vencida, Pessoa Engenheira de Software Front-End Sênior",Sênior,Remoto,CLT,12.000,JavaScript,ReactJS,Vue.js,,,,,,,,,
"Vencida, Android Developer",Não especificado,Remoto,PJ,,Android,Java,Kotlin,,,,,,,,,
"Vencida, Desenvolvedor(a) Backend Node.js Pl",Não especificado,Remoto,CLT / PJ,15.000,Cloud,Git,Node.js,JavaScript,Testes automatizados,TypeScript,,,,,,
"Vencida, DESENVOLVEDOR(A) FULL STACK",Não especificado,Remoto,PJ,4.000,MongoDB,Node.js,ReactJS,JavaScript,,,,,,,,
"Vencida, Web Designer",Não especificado,Não Remoto,PJ,3.000,CSS,HTML,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Back-End GO Sênior",Sênior,Remoto,PJ,15.000,AWS S3,Docker,Go,kubernetes,MongoDB,,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno",Pleno,Remoto,PJ,6.000,Python,JavaScript,React Native,,,,,,,,,
"Vencida, DATA ENGINEER",Não especificado,Não Remoto,CLT,8.000,Qlikview,SQL,Cloud,,,,,,,,,
"Vencida, DATA ENGINEER - MODERN DATAWAREHOUSING ",Não especificado,Não Remoto,CLT,10.000,Azure,Cloud,Data science,SQL,,,,,,,,
"Vencida, Desenvolvedor(a) JavaScript Sênior",Sênior,Remoto,CLT / PJ,,JavaScript,SQL,API,,,,,,,,,
"Vencida, Desenvolvedor(a) PHP Pleno",Pleno,Remoto,CLT,4.000,CSS,HTML,JavaScript,Laravel,MySQL,PHP,,,,,,
"Vencida, Desenvolvedor(a) Dynamics",Não especificado,Remoto,CLT / PJ,,C#,CSS,.NET,,,,,,,,,
"Vencida, Full-Stack Developer Pleno - Flutter (EXCLUSIVIDADE)",Pleno,Remoto,PJ / CLT,6.000,Flutter,AWS EC2 (Elastic Compute Cloud),AWS S3,JavaScript,Ruby on Rails,,,,,,,
"Vencida, Desenvolvedor(a) Júnior",Júnior,Não Remoto,CLT,,CSS,HTML,JavaScript,SQL,,,,,,,,
"Vencida, Pessoa Engenheira de Software Pleno",Pleno,Remoto,CLT,8.000,JavaScript,PHP,ReactJS,,,,,,,,,
"Vencida, Pessoa Engenheira de Software Sênior",Sênior,Remoto,CLT,12.000,Clean Code,JavaScript,PHP,,,,,,,,,
"Vencida, Analista de Processamento de Dados PHP",Não especificado,Remoto,CLT,2.500,SQL,PHP,Excel,,,,,,,,,
"Vencida, Desenvolvedor(a) Frontend Júnior",Júnior,Não Remoto,PJ,3.500,Bootstrap,JavaScript,Vue.js,,,,,,,,,
"Vencida, Assistente de Programação ",Não especificado,Não Remoto,CLT,3.500,VB .NET,Visual Basic,VBA,,,,,,,,,
"Vencida, Programador(a) Sênior ",Sênior,Não Remoto,CLT,7.000,VB .NET,Visual Basic,VBA,,,,,,,,,
"Vencida, Programador(a) Pleno ",Pleno,Não Remoto,CLT,6.000,VB .NET,Visual Basic,VBA,,,,,,,,,
"Vencida, Programador(a) Júnior ",Júnior,Não Remoto,CLT,5.000,VBA,VB .NET,Visual Basic,,,,,,,,,
"Vencida, PO ",Não especificado,Não Remoto,PJ,10.000,Node.js,ReactJS,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) React Sênior",Sênior,Remoto,PJ,10.000,ReactJS,AWS EC2 (Elastic Compute Cloud),AWS S3,,,,,,,,,
"Vencida, Desenvolvedor(a) Node Sênior",Sênior,Remoto,PJ,10.000,AWS S3,Node.js,AWS RDS (Relational Database Service),,,,,,,,,
"Vencida, Programador(a) Full Stack Júnior",Júnior,Não Remoto,PJ,2.000,CSS,HTML,JavaScript,Angular,,,,,,,,
"Vencida, Desenvolvedor(a) Front End ReactJs",Não especificado,Remoto,CLT,7.000,ReactJS,React Native,Angular,,,,,,,,,
"Vencida, PESSOA DESENVOLVEDORA BACK-END",Não especificado,Não Remoto,CLT,,Node.js,TypeScript,Git,JavaScript,Linux,Testes unitários,,,,,,
"Vencida, Angular Developer ",Não especificado,Não Remoto,CLT,5.000,Angular,Java,JavaScript,,,,,,,,,
"Vencida, .NET Developer ",Não especificado,Remoto,CLT,5.000,Azure,.NET,.NET Core,,,,,,,,,
"Vencida, Designer UX/UI",Não especificado,Remoto,CLT,10.000,Design Pattern,Figma,HTML,Photoshop,,,,,,,,
"Vencida, DevOps Engineer",Não especificado,Remoto,PJ,15.000,DevOps,Docker,kubernetes,Python,,,,,,,,
"Vencida, PROGRAMADOR(A) DELPHI",Não especificado,Não Remoto,CLT,,C,Delphi,ERP,Firebird,MySQL,SQL,,,,,,
"Vencida, Desenvolvedor(a) Java Sênior",Sênior,Remoto,PJ,,API,Java,Kanban,MVC,SCRUM,Spring Boot,,,,,,
"Vencida, Desenvolvedor(a) Front-end Angular Pleno (em Startup)",Pleno,Remoto,CLT / PJ,10.000,Angular,CSS,JavaScript,,,,,,,,,
"Vencida, Desenvolvedor(a) Java Sustentação - Remoto",Não especificado,Remoto,PJ,15.000,Java,Linux,Spring Boot,,,,,,,,,
"Vencida, Analista de Sistemas Sênior",Sênior,Remoto,CLT,,Java,PowerBuilder,SQL Server,,,,,,,,,
"Vencida, Analista de Sistemas Pleno",Pleno,Remoto,CLT,,Java,JUnit,RESTful,,,,,,,,,
"Vencida, Desenvolvedor(a) que ama criar produtos | Node | Senior",Não especificado,Remoto,PJ,12.000,API,Node.js,Serverless,,,,,,,,,
"Vencida, Tech Lead |Node | Qualidade Antes de Quantidade",Não especificado,Remoto,PJ,15.000,Big Data,Node.js,Serverless,,,,,,,,,
"Vencida, Coordenador(a) de Desenvolvimento de Sistemas",Não especificado,Remoto,PJ,,Git,JavaScript,PHP,,,,,,,,,
"Vencida, Desenvolvedor(a) Java Full Stack (Remoto Portugal)",Não especificado,Remoto,CLT,10.000,Angular,Java,PostgreSQL,ReactJS,Vue.js,JavaScript,,,,,,
"Vencida, Desenvolvedor(a) Full Stack Pleno",Pleno,Não Remoto,PJ,3.500,CSS,HTML,JavaScript,MySQL,PHP,,,,,,,
"Vencida, Desenvolvedor(a) Fullstack Pleno",Pleno,Não Remoto,CLT / PJ,,CSS,HTML,iOS,JavaScript,ReactJS,Android,,,,,,
"Vencida, Desenvolvedor(a) Web Júnior (Home Office)",Júnior,Remoto,CLT,,CSS,Java,Kotlin,SCSS,,,,,,,,
